,gender,year,kind,opinion,predict_result,YES
0,female,2nd,positive,多種多様な人に出会えること。大学という存在そのもの自体が、様々な人が集まる場所であるが、SFCは特にぶっ飛んでいたり海外経験が豊富であったり、良くも悪くも本当に多種多様な人がおり、その人たちを垣間見る事ができる。話を聞くだけでも刺激になり、貴重な機会であると考える。,positive,1
1,male,3rd,negative,社会常識の欠如した学生がしばしば散見される。AO入試制度等を活用し、多彩なバックグラウンドをもつ人材が集まるキャンパスであることもあり、一般的な社会経験や集団生活、集団行動を経験することなく入学した学生が一定数おり、グループワークやサークル活動等において集団行動や組織運営の妨げとなる例がある。,negative,1
2,male,2nd,positive,たくさんの研究会が存在し、１年生２年生という低学年のうちから所属することができ、その分野のライバルとともに切磋琢磨できる。複数の研究会に所属することが可能で複数の専門分野を学べる。また研究会と外部機関との連携をすることも多く、実際に社会と関わって訓練を積む体験ができる。,positive,1
3,male,2nd,negative,SFCはよく慶應大学と隔離されて考えることが多く、慶應義塾大学というくくりの中でかなり存在感がない。それは藤沢という僻地であることに加えて総合政策、環境情報というなんともとっつきにくい名称の学部であるためだと考えられる。認知度が低いことでさらに悪評が立っているのは自明である。,negative,1
4,male,1st,positive,とにかく人材の宝の山だと思う。多種多様なバックグラウンドを持った個性的で面白い人達がキャンパス内をうろうろしていることは大きな魅力である。彼らが大きな刺激となり自分を突き動かす原動力にもなっている。それぞれの生徒がそれぞれのバックグラウンドを持っている姿はとても美しい。,positive,1
5,male,2nd,negative,SFC周辺には牛や豚の農場があり、その家畜の糞便から発生する匂いが風に乗って大学内まで運ばれてくる。特に5~6月の匂いは凄まじく、自分が大学にいるのか動物園にいるのかわからないほどである。雨が降るとその匂いはさらに強烈になる。空気中の匂い成分を雨粒が吸収し、地上へ降り注ぎ、とても不快である。,negative,1
6,male,1st,positive,プログラミングが進級のために必修であり、将来に役立つような授業体系となっている。どんな人であろうと全員が一応一通りのHTMLやJavaScriptを書けるキャンパスなど他には存在しないであろう。また情報入試という入試形態が存在しており、情報に強い人材が集まっている,positive,1
7,female,2nd,negative,学べる分野は多様で自分で好きなように学ぶ事ができるが、反対にやりたい事がわからず、目的意識がないと何もせず月日が経過し、多分野を学べる分専門性が高いわけではないので、そのような学びをしたい人には物足りない可能性がある。大学のゼミや授業のみに頼らず、自発的に行動し考え学ぶ姿勢が必要となる。,positive,0
8,male,2nd,positive,立地がユニーク。キャンパス内にはたくさんの木がある。周りを見渡すと山がある。ネットの世界に入り込んでしまいがちなSFC生を、大自然の力で現実に帰してくれる。課題の発表で失敗してしまった時などには、鴨池の鴨を眺めて癒やされる。気軽に江ノ島に行くことができ、健康的に心をリフレッシュできる。,positive,1
9,male,1st,negative,キャンパス内を歩いていると異臭が漂うことが多くあります。かなりきついものです。豊かな自然が広がっているSFC、鴨池の前でご飯が食べたい！と思うこともあります。そんなとき養豚場らしき場所から臭い香りが飛んできます。せっかくのいい時間が台無しになってしまいます。これはみんな嘆いていることです。,negative,1
10,female,1st,positive,大学内のイベントで年2回綺麗な花火が見られる。音楽と合わせているので見がいがある。大学で花火が見れるとは思っていなかったし、普通の花火大会に行くよりかは人混みも多くなく、近くで見れるので迫力がある。また、遠くからスマホで花火を撮ろうとするとボケるが、大学だとピントがあう。,negative,0
11,male,1st,negative,駅から学校に向かうまでのバスが不便。授業が始まる前の時間、終わる時間の前後には、バスに乗るための長蛇の列ができてしまっている。毎日往復で440円のバス代がかかるため、案外出費がかさむ。授業の前後の時間だけでいいからスクールバスが出ていればとても助かるのに、と思っている。,negative,1
12,male,1st,positive,様々な国出身の人や色々な経験をして今ここにいるという人がとても多いです。環境情報学の授業で色々な人の経験を知る機会があった時には菜食主義の人やコーヒーの豆を選別している人やNPO法人に関わっている人など様々な人がいて面白かったのを覚えています。そういう面、面白い人がたくさんいます！！,positive,1
13,male,3rd,negative,SFCの駐車場は学生の車が入れない。アメリカの大学の場合、学生も車で通学することができるし、学生のための駐車場がある。SFCは交通が良くない田舎にあるのに、学生が車で通学できなくなったいる。しかも、足が不便で歩けない学生もキャンパス内まで車も持っていくのは禁止されている。これは非常に理不尽である。,negative,1
14,female,1st,positive,宅配ロボットや自動運転バスの試運転などがキャンパス内で行われていて、その研究に携わっていない学生も見れるのが面白い。また、たくさんの企業と共同で研究をしている研究会が多く、知り合いとお互いの研究について話すときにユニークな研究テーマばかりで興味深いので聞いてて楽しい。,positive,1
15,male,3rd,negative,授業が少なく、履修選抜が頻繁に発生し、履修選抜の方法が抽選がおおいので取りたい授業がとれない可能性がある。そのため、例えば人気授業である囲碁などの寄付講座は入学してからずっと履修選抜にエントリーしていても卒業まで履修できない可能性があるので、大学に来てなぜか受けたい授業が受けれずに終わる人が多い。,negative,1
16,male,3rd,positive,研究のテーマが学部や学年に縛られていない。単位的な問題を除けば、研究会は基本一年生から履修することができる。そのため高校の時に興味を持っていたことをそのまま続けられたり、１年生１学期に受けた印象深い授業に関わる研究会に入ることができる。研究に１年生から取り組めるのはSFC特有である。,positive,1
17,female,4th,negative,トイレにウォシュレットや音姫が付いていない。照明が最小限に絞られているため暗い雰囲気で好ましくなく、洗面台の照明も少なく身だしなみのチェックがしにくい。またトイレから出る際のドアが引き戸となっているためドアノブを必ず触らないと外に出ることが出来ず衛生的に問題を感じる。,negative,1
18,female,4th,positive,都内の他大学とは異なり広大な敷地を有したキャンパスであり、自然に囲まれているため四季を肌で感じることができる。特に今の時期は紅葉が非常に綺麗であるため、大学に来るととても開放的な気分になれる。また背の低い建物が多いため閉塞感を感じることなくキャンパスで過ごすことができる。,positive,1
19,male,1st,negative,毎回行きも帰りもバス列が混み合っていることがとても多い。そのため時間通りに並んだとしてもその時の混み具合によっては授業に遅刻したり、最悪の場合欠席になってしまうことがある。また、SFC中高等部の学生ともしばしばバスに乗る時間帯が被るためバス列が混んだり、バスの中が騒がしくなってしまう。,negative,1
20,male,1st,positive,授業がおもしろい。SFCのカリキュラムには必修がほとんどありません。また学部の壁がありません。学年の壁もありません。自分の興味のある授業を制限されることはなく、自由に学生生活を送ることができます。日吉キャンパスではこんな制度ないし、他の大学でもほとんど聞きません。素晴らしいと感じています。,positive,1
21,female,1st,negative,バス列の長さが予想できない。同じ曜日の授業でもほとんど待たずに乗れる時と小田急の改札前までいく時とで全然違う。このことを研究した学生が以前いたらしいが、結果としてわかったのは毎学期の学生の履修によってどう頑張っても輸送量より履修人数の方が多いことだった。だから、早くバスの本数を増やして欲しい。,negative,1
22,male,2nd,positive,最先端のコンピューター環境がそろっていることだ。特別教室には24時間利用可能なコンピューターがある。また、Intel Xeonを積んだiMac Proも利用可能だ。学生たちの個人端末にもグローバルIPアドレスが付与される。リモートアクセスが可能なLinuxサーバーの種類なども充実している。,positive,1
23,male,1st,negative,SFCでは自転車通学を選ぶ人が多い。しかし、湘南台駅あたりからSFCへの道はあまり安全ではない。歩道は多少広く、自転車も通行できる。しかし、歩行者も多いので車道を行く人が多いが、交通量が多くトラックも頻繁に通る。自動車の運転手も常に交通ルールを守っているわけではない。自転車通学には用心が必要である。,negative,1
24,female,3rd,positive,緑が多く、四季を感じることができる。SFCは別名湘南藤沢野鳥キャンパスと呼ばれるほどであり、雀や鴨などが多く見られ、バードウォッチングに最適である。敷地面積も余裕があり、花火を打ち上げることができるのは、本キャンパスならではである。,negative,0
25,male,1st,negative,食に関する環境が良くない。悪いとまではいかない。生協食堂やSUBWAY、また日替わりのキッチンカーが出ていて、バラエティ的にはまぁまぁ良い。しかし、問題はどれも安くないことだ。どこで食べてもだいたい７００円以上はする。せめて生協食堂だけは、安くてバランスの良いものを提供してほしい。,negative,1
26,male,3rd,positive,生協で買えるカレーパンやシュークリームなどの菓子類がとても美味しい。食堂のうどんのコストパフォーマンスがよくてよく利用する。サブウェイのサンドイッチの野菜がみずみずしくてとても感動する。SFCにある食べ物はどれもとても魅力的で食べ応えのある物ばかりだと感じている。,negative,0
27,male,1st,negative,抽選による履修選抜制度が存在するために、必ずしも希望した科目を履修することができるというわけではないところ。学年によって優先されるということがないため、進級・卒業要件を満たすためにそこまで興味のない、あるいはまったく関心のない科目を履修する必要が出てくる場合がある。,negative,1
28,male,2nd,positive,広大な敷地を持っているキャンパスであるので、のびのびとストレスなく大学生活を送ることができる。鴨池の前で友人と喋ったり寝転んだりするのは最高である。都内にある他の大学は学生数に対して敷地面積が狭いため、ゆっくりと過ごす空間はほぼ存在しない。食堂も静かに勉強できる場所になる。,negative,0
29,male,3rd,negative,駅からのアクセスがとても悪い。キャンパスに行くためには、長い待ち時間のバスを利用するか、40分歩かなくてはならない。特に、1限の授業がある時はバスの待ち時間も考慮して行動しなければならず、時間のロスが大きい。自転車を利用することもできるが、雨の日が多い梅雨が辛い。,negative,1
30,male,1st,positive,勉強に集中しやすい環境が揃っている。日吉キャンパスや三田キャンパスに比べて、SFCは都会から離れた場所に位置している。学業に集中するには、誘惑も少なく、最適な環境である。学生の本業である学業を全うするには、湘南台という立地は、適している。そこは郊外特有のメリットである。,positive,1
31,male,4th,negative,大学の周りに何もない。都心であれば、飲食店の候補や必要品の補充に多くの選択肢がある。しかし、この大学の周りには豊かな自然が広がっているだけである。実用的な面から考えると、場所的制約によって滞在中の行動範囲が限定されてしまうことから、マイナスポイントになりうる。,negative,1
32,male,3rd,positive,家から近いことである。SFCは地方から入学してくる学生は湘南台に住むことが多いが、東京都や横浜に住んでいる学生は実家から長時間かけて通学してくる場合も多い。しかし私は実家の最寄駅が湘南台から2つ隣の駅であるため、1限がある日も8時半に家を出れば授業に間に合うことができる。,negative,0
33,male,1st,negative,とにかくキャンパスの場所が僻地で、アクセスが難しい。東京都心へ行くにも１時間程度かかる上に、SFCの最寄駅からSFCに行くためにはバスで15分程度の時間がかかってしまう。バスの本数も決して多いとは言えないため、雨の日はバス列と呼ばれる参勤交代かのような行列がバス停に出現する。,negative,1
34,male,2nd,positive,少ない必修によって取りたい授業を選択できることに加えて、たくさんのアスペクトから多様な講義を自分の意思で履修できる。自分がやりたいことを思い切りできる環境と、それをサポートする講義が揃っている。卒業後のキャリアも様々であらゆる分野にOB・OGがいるので就職の時に楽。,positive,1
35,male,3rd,negative,体育が取れない。この学校は体育を毎週申請することで授業に参加できるが、人数制限があるクラスがとても多い。人数制限がある場合、友達と一緒に授業をとっても友達だけが落とされることがよくある。だから体育システムをもうちょっと便利で使いやすいものにすればいいのにと思う。,positive,0
36,female,1st,positive,必修単位が他学部と比べて少ないので、最初の1年頑張れば体育を除くほとんどの必修を取り終えることができる。だから、2年生になると好きな授業を優先的に取れるし、固定の指定授業がなくなって全休も作りやすくなる。ただ、1限を入れて全休を多くするか、1限を入れずに全休を少なくするかが悩みどころ。,negative,0
37,male,2nd,negative,SFCに通う場合は基本的に湘南台駅、辻堂駅から通うことになるが、ともに大学への道のりがかなり遠い。自転車が限界であり、歩くのは厳しい距離である。そのためバスを利用する学生が多いが、バス列が長すぎてなかなか乗ることが難しい。雨の日にはひどいことになる。さらにその運賃も少々高く不便である。,negative,1
38,female,3rd,positive,半年ごとの履修登録制度。日吉や三田の学部は学年初めに、春学期と秋学期の履修を両方組まなければならない。先の見えない半年後の予定まで決めないといけないのだ。しかし、SFCは半期ごとに履修登録ができるため、自分のその期間の忙しさや予定に合わせてどこに授業を入れるか決めることが出来る。,positive,1
39,male,1st,negative,慶應義塾大学湘南藤沢キャンパスは、最寄駅である湘南台駅から遠くて立地が悪い。徒歩で湘南台駅からキャンパスまで一時間弱かかり、生徒は皆バスに乗るか自転車を使って通学している。特にバスを利用して通学する人が大半を占める。一限のある日や、授業終わりはバスに乗るために長蛇の列に並んで待たなければならない。,negative,1
40,male,1st,positive,キャンパスに自然が多く、勉学に集中できることである。木々や鴨池があり、とても新鮮な空気のに包まれていおり、空きコマなどでは鴨池の周りでゆっくりとした時間を過ごすことで気分をリフレッシュすることができる。そういうことができる環境があることで尚一層勉学に励むことができる。,positive,1
41,male,2nd,negative,SFC生は意欲的であることが求められる。まず、カリキュラムの自由度がとても高いので、適当にとっていると一貫性を欠いた授業選択になる。さらに、何か一つに特化してはいないので、それぞれの学問を授業だけで深く学ぶということができない。自分が何を学びたいかを明確にした上で、独学することが要求される。,negative,1
42,male,1st,positive,SFCは研究にガッツリ取り組もうと思えば深夜まで研究をすることができる。深夜まで研究をする人の多くが残留をする。残留とは研究などをするためにキャンパスに泊まることである。残留をする人は主に理系の研究会に所属している人が多い印象をうける。24時間好きなときに研究できるのはSFCだけである。,positive,1
43,male,1st,negative,SFCは緑の多い自然に恵まれた場所にある。また、周辺では畜産も行われている。そのため、SFCはしばしば家畜の臭いに包まれる。幸い、毎日臭いわけではなく、全くの無臭の日もある。しかし、湿気の高い日は高い確率で悪臭が発生する。臭いのしないときがあったとしても、雨が降り出せば一瞬にして臭いが学内を包む。,negative,1
44,male,2nd,positive,江ノ島や鎌倉に割と近い場所に位置しているため学校帰りに気軽に海に行き花火をしたり、観光地を散策することができる。また、キャンパス内に緑が多いため目にもよくパソコンをよく使う反面、身を休めることもできる。虫も普通に生息しているためのびのびと生活することができる。,positive,1
45,female,4th,negative,キャンパスの周辺に飲食店がないため、食事の選択肢が限られてしまっている。そのため生協や食堂などに人が集中し、スムーズに食事を購入することができなくなっている。昼食時間が設定されていないSFCにとって、混雑によるタイムロスは様々な問題を引き起こしてしまうため生徒のストレスとなっている。,negative,1
46,male,1st,positive,最先端の技術が生徒に提供されている。メディアセンターにある「Fab space」では3Dプリンターやレーザーカッター、UVプリンターなどの設備があり、生徒は誰でも簡単に使用できる。実際に使うことによって、今まで体験したことのない刺激で飛躍的に創造性が育まれる。,positive,1
47,female,2nd,negative,とにかく遠い。湘南台という立地もなかなかだが、それ以上に湘南台駅からバスで15分くらいかかる。しかもバスは大学専用でなく、普通の私営バスなので、別途交通費としてバス代が必要となる。さらに授業の多い曜日や時間帯となるとバスを乗るのに待つ人の列、いわゆる「バス列」が発生し、遅延遅刻も伴う事がある。,negative,1
48,male,1st,positive,緑が多い。現代の都会では、コンクリートの建物が一面に立ち並び、緑を目にするところは公園くらいである。SFCのキャンパスは、国立公園の敷地内に建てられた文化館のようである。鴨池付近では、スクリーンを見続けることから引き起こされる目の疲れを休め、空いた時間に休憩を取ることができる。,positive,1
49,male,3rd,negative,一つの分野に対して体系的に学習できるようなカリキュラムが少ない。多くの授業は入門だけで終わってしまったり、基礎知識は自分でつけて応用の授業に臨むといった形式が多い。自習の大切さは理解できるが、多少は体系的なカリキュラムがあってもいいのではないかと思うことがある。,negative,1
50,male,1st,positive,SFCには様々な分野を専門とする学生、教授が共存しており自分のやりたいことへのアプローチが多岐にわたる。SFCの理念である問題発見、解決のできる人材を育成するという点において手段、方法の視野を広げるということは、社会に出た際にも自身の研究の発展にとても必要となってくる。,positive,1
51,female,3rd,negative,キャンパスの周りに何もないため、空きコマの時間を潰すということが非常に難しい。メディアで勉強するのもいいが、メディアだと基本的に飲食禁止で、話したり寝たりすることもはばかられるため、ゆったりした自分の時間がとれない。サブウェイに行くには席が少なすぎる。学食に行くには閉店が早すぎる。,negative,1
52,male,3rd,positive,SFCは従来の大学とは違うカリキュラムを持っている。一般の大学は、専攻科目の勉強で忙しくなるので、自分がいろんな分野に興味があっても、一つを選ばなければならない。しかし、SFCでは卒業まで２つ以上の分野の勉強をすることができる。もっと広い知識や経験を積むことができるのである。,positive,1
53,male,2nd,negative,最寄り駅からキャンパスまでの交通手段がバスに限られており、通学時にとても混雑し、バス列も頻繁に長蛇の列となる。このバスは学校のバスではないため、便数も時間別に増便されるということもなく、市営のバスを活用しているため、混雑によるトラブルもたまに起こってしまっている。,negative,1
54,male,3rd,positive,SFC景色が美しい。SFCの景色を綺麗にしてくれる要素の一つは鴨池である。鴨池は周りが綺麗な緑色の草と木に囲まれ、グレーコンクリートの多いキャンパスの中で学生みんなに自然を与えてくれるありがたい存在である。特に、夕暮れが鴨池に光を照らす光景はその中でも最高である。,negative,0
55,male,1st,negative,食堂、生協の営業時間が短い。食堂の営業時間は午後3時まで、生協は午後6時までである。メディアセンターが午後11時まで開放されていることを考えると、これらの終了時間は少し早いと感じる。勉強に疲れ一休みしたい学生が、これより遅い時間でも、食事休憩をとれるようになると良い。,negative,1
56,male,3rd,positive,多彩な才能を持った個性的な学生が集っており、大学を通じた人間関係では自分に全く縁のなかった世界を垣間見ることがしばしばあり、刺激的な大学生活を送ることができる。AO入試を日本で初めて採用したこともあり、ほとんどの学生が何らかの得意分野、あるいは専門分野を既に有しており、日々新たな知見が得られる。,positive,1
57,male,3rd,negative,キャンパスの周りにほとんど何もない。ご飯を食べる場所もほとんどないし、遊ぶような場所もほとんどないのがよくない。辻堂を使っている私は、遊んだりご飯を食べる時は湘南台に合わせることがほとんどだから、周りがもっと充実していればわざわざ湘南台に行く回数も少なくて済むし、助かっていたと思う。,negative,1
58,male,3rd,positive,入学時に専攻が決められていないため、大学での授業を通じて自分の将来についてじっくり考えることのできるカリキュラムが設定されている。研究会は多彩な分野が用意されており、全く興味のなかった分野の研究会でも複数入ったり、途中で変更したりできるため、自分が本当にやりたいことを見つけることができる。,positive,1
59,female,3rd,negative,キャンパスが都内に比べ自然の多い場所にあり、近隣に農業用地があるせいか、雨の日など湿気の多い日には肥料のにおいなどがキャンパス内にまでただよってくることがある。さらに、風のない日にはそのにおいがなかなか無くならないため本来の長所である気持ちのリフレッシュが難しい。,negative,1
